mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
2015.21,16.93,4.56,37413960,1439163,1242136,247.00554232316492,54719.91426618304
2015.21,16.96,4.56,37412744,1439181,1233686,246.97999971425904,54714.25573173754
2009.78,16.97,4.56,37412744,1439259,1238001,246.52863259886888,54614.26295576813
2015.21,17.0,4.56,37420701,1439266,1244758,246.94595111874438,54706.71283933957
2015.21,17.01,4.58,37422885,1439273,1244386,246.93744043666837,54704.82744118548
2009.78,17.03,4.58,37424155,1439276,1245535,246.47765831409416,54602.97046222155
2015.21,17.06,4.58,37424155,1439104,1247246,246.89489582407117,54695.40239941552
2009.78,17.08,4.58,37424155,1439110,1257378,246.43519584324102,54593.56361757038
2009.78,17.11,4.59,37432279,1439118,1248396,246.40972538270464,54587.92106637997
2015.21,17.12,4.58,37435677,1439058,1257933,246.84386163607567,54684.09663532014
2015.21,17.13,4.59,37438304,1439225,1248787,246.83535798919556,54682.212795695115
2009.78,17.13,4.59,37439881,1439158,1258874,246.39274800049554,54584.16001352987
2009.78,17.17,4.58,37441602,1439254,1250765,246.3588002534577,54576.639462411986
2009.78,17.19,4.59,37441602,1439331,1251455,246.3418298876622,54572.87996393004
2015.21,17.21,4.59,37447074,1439134,1252785,246.7673499004811,54667.146750015076
2015.21,17.23,4.59,37449028,1439134,1260809,246.7503537333965,54663.38153569245
2009.78,17.25,4.59,37449168,1439253,1253707,246.29093281537138,54561.60457550775
2009.78,17.26,4.58,37451259,1438883,1260461,246.28245201468215,54559.72579707121
2009.78,17.27,4.59,37451302,1438860,1263007,246.27397179802992,54557.84714801822
2009.78,17.28,4.59,37452909,1439097,1254859,246.2654921653543,54555.9686283354
2009.78,17.3,4.59,37454670,1438999,1261032,246.2485346516916,54552.21197702684
2009.78,17.32,4.59,37454670,1438872,1260697,246.23157947321184,54548.45584303869
2009.78,17.34,4.59,37460063,1439029,1257824,246.21462662943253,54544.700226264074
2009.78,17.36,4.59,37463375,1439029,1259123,246.1976761198714,54540.945126596154
2009.78,17.38,4.59,37463375,1439029,1258377,246.18072794404654,54537.19054392816
2015.21,17.38,4.59,37463375,1438945,1258708,246.6229570684738,54635.158952033795
2009.78,17.44,4.59,37469761,1438895,1258708,246.1298974141706,54525.929896856214
2009.78,17.46,4.59,37469761,1439058,1254868,246.11295856847266,54522.17738112057
2009.78,17.48,4.6,37469761,1438970,1254868,246.09602205410263,54518.425381851324
2009.78,17.51,4.59,37478352,1439267,1253892,246.0706216527346,54512.79835108872
2009.78,17.52,4.6,37482027,1439023,1264328,246.0621560174213,54510.92293228558
