mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
1998.91,16.24,4.45,37299621,1438045,1214619,246.26175272677742,54555.14021875234
1998.91,16.25,4.45,37301990,1437973,1214040,246.25324333656576,54553.255106789016
1998.91,16.26,4.45,37303494,1438052,1222538,246.24473453440487,54551.37012509844
1998.91,16.27,4.47,37303587,1438137,1215202,246.236226320234,54549.48527366713
1998.91,16.27,4.45,37304730,1438018,1215384,246.236226320234,54549.48527366713
1998.91,16.29,4.47,37306813,1437967,1221368,246.21921165561812,54545.71596152826
1998.91,16.3,4.47,37308815,1438194,1216163,246.2107052050514,54543.83150079371
1993.48,16.32,4.47,37308815,1438275,1219923,245.74984555940955,54441.73581475736
1998.91,16.34,4.48,37316913,1438253,1217722,246.17668527963707,54536.29495977319
1998.91,16.35,4.47,37317201,1438500,1218207,246.16818176719215,54534.41114993002
1998.91,16.37,4.48,37322836,1438304,1219052,246.15117650456662,54530.64392064362
1998.91,16.38,4.48,37322836,1438407,1220397,246.14267475426422,54528.76050117342
1998.91,16.4,4.49,37328834,1438604,1216270,246.125673015376,54524.994052511625
1993.48,16.4,4.49,37331816,1438381,1221718,245.6819471389476,54426.694064230054
1993.48,16.43,4.49,37334610,1438796,1214090,245.65649490324702,54421.05555044482
1993.48,16.45,4.49,37337854,1438796,1222394,245.63952967569847,54417.297190254874
1993.48,16.45,4.49,37342059,1438871,1216908,245.63952967569847,54417.297190254874
1993.48,16.48,4.49,37341503,1438662,1223096,245.61408622753953,54411.660623201366
1993.48,16.49,4.49,37344673,1438809,1223407,245.6056062494209,54409.782026991474
1993.48,16.5,4.5,37347414,1438719,1224578,245.59712685683508,54407.9035604965
1993.48,16.52,4.5,37348155,1438778,1224578,245.58016982801905,54404.147016597555
1993.48,16.54,4.5,37351941,1438906,1224578,245.56321514060642,54400.39099139705
1993.48,16.55,4.5,37351941,1438726,1224578,245.55473867477485,54398.513173275154
1993.48,16.58,4.5,37361582,1438757,1227957,245.52931278805193,54392.88049666177
1993.48,16.6,4.5,37362883,1438895,1228534,245.51236512194055,54389.12602691221
1993.48,16.62,4.5,37362883,1438709,1236787,245.49541979529377,54385.372075431595
1993.48,16.62,4.51,37372680,1438989,1230184,245.49541979529377,54385.372075431595
1993.48,16.66,4.53,37372680,1438900,1230938,245.46153615845648,54377.86572684797
1993.48,16.69,4.52,37372680,1438812,1241313,245.43612956832143,54372.23732506836
1993.48,16.71,4.53,37372680,1439164,1236687,245.41919476327288,54368.48570447048
2026.07,16.74,4.53,37383923,1439102,1234163,248.05384584547028,54952.14824087838
2026.07,16.75,4.54,37380073,1438592,1228881,248.04528931405096,54950.252685575135
1988.05,16.77,4.54,37392088,1438865,1228881,244.92524477980973,54259.05941187529
1982.62,16.77,4.54,37392088,1439988,1237378,244.48208519261377,54160.88487542755
2031.5,16.82,4.54,37400489,1439814,1237091,248.42849329124815,55035.14506726614
2031.5,16.82,4.55,37376884,1437746,1237350,248.42849329124815,55035.14506726614
2031.5,16.84,4.55,37376884,1439113,1227982,248.41135970089738,55031.34940913536
2031.5,16.87,4.55,37410956,1439073,1240203,248.38566374616656,55025.65690350721
2020.64,16.89,4.56,37411079,1439350,1229038,247.48258359062044,54825.59471776758
2009.78,16.89,4.57,37419345,1439350,1233729,246.59663111841073,54629.32688155927
