mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
2156.4,15.37,4.01,36933205,1445430,1181315,237.31040842148764,50157.99810975299,1.79608,379.62
2178.13,15.38,4.03,36933033,1445143,1182091,238.9291718280884,50500.14042212982,1.79608,379.62
2188.99,15.38,4.04,36935849,1445481,1182373,239.74229157126808,50672.001651532664,1.79608,379.62
2194.42,15.38,4.04,36940933,1445477,1183820,240.14885144285793,50757.93226623409,1.79608,379.62
2199.85,15.39,4.03,36945199,1445827,1182919,240.5470743278492,50842.10077298234,1.79608,379.62
2210.71,15.39,4.03,36955491,1446380,1182919,241.36016589054293,51013.95604614934,1.79608,379.62
2216.14,15.39,4.0,36958752,1446431,1183878,241.76671167188977,51099.88368273284,1.79608,379.62
2199.85,15.4,3.99,36962075,1446456,1183661,240.53873791910456,50840.33878716454,1.79608,379.62
2183.56,15.4,3.99,36966929,1446979,1176847,239.3191428428632,50582.56481114857,1.79608,379.62
2167.26,15.4,3.99,36974825,1447443,1183644,238.09879908947244,50324.63259450889,1.79608,379.62
2156.4,15.41,3.97,36968974,1447248,1181739,237.27751260662467,50151.045240594445,1.79608,379.62
2145.54,15.41,3.96,36967454,1446983,1183115,236.46447739904343,49979.20187866068,1.79608,379.62
2134.68,15.42,3.97,36967690,1446983,1183115,235.64327601194975,49805.63251060998,1.79608,379.62
2112.96,15.43,3.96,36967690,1447005,1183115,234.00915267783304,49460.243719410595,1.79608,379.62
2102.1,15.44,3.96,36959281,1446944,1181033,233.18809328205907,49286.704362687226,1.79608,379.62
2074.94,15.44,3.97,36957630,1446849,1181958,231.15496798478424,48856.98239854784,1.79608,379.62
2058.65,15.44,3.97,36958096,1447036,1180756,229.9355419504468,48599.24415127868,1.79608,379.62
2053.22,15.44,3.98,36958096,1446846,1186646,229.5290666056676,48513.33140218896,1.79608,379.62
2042.36,15.44,3.98,36954523,1446869,1187264,228.71611591610923,48341.50590400951,1.79608,379.62
2020.64,15.44,3.99,36954354,1447202,1179971,227.09021453699265,47997.85490765064,1.79608,379.62
2009.78,15.44,3.99,36954250,1447432,1179191,226.27726384743428,47826.029409471186,1.79608,379.62
1993.48,15.43,3.99,36954250,1447341,1186465,225.0648880161139,47569.78129519686,1.79608,379.62
1966.33,15.43,3.99,36950415,1447341,1179100,223.0324408654136,47140.20266431802,1.79608,379.62
1928.32,15.42,3.98,36950645,1447341,1179100,220.19464513529587,46540.405319507496,1.79608,379.62
1906.59,15.42,3.98,36953886,1447916,1177723,218.56788244412655,46196.57227597843,1.79608,379.62
1874.01,15.41,3.98,36953886,1448425,1177723,216.13635125590065,45682.643124897,1.79608,379.62
1846.86,15.4,3.98,36949246,1448425,1176717,214.1111832252767,45254.60301099035,1.79608,379.62
1825.13,15.39,3.96,36945818,1448528,1168801,212.4916718994347,44912.302618181486,1.79608,379.62
1808.84,15.39,3.95,36942973,1448234,1168801,211.27203455539416,44654.51970843099,1.79608,379.62
1792.55,15.38,3.96,36940952,1448518,1170881,210.05967729998255,44398.27552036624,1.79608,379.62
1770.83,15.37,3.95,36944763,1448778,1174769,208.44066204202372,44056.07997661187,1.79608,379.62
1738.24,15.37,3.95,36948863,1449143,1174329,206.0004695101703,43540.3201613797,1.79608,379.62
1721.95,15.36,3.94,36946211,1449262,1172045,204.78784549521637,43284.01959093918,1.79608,379.62
1716.52,15.35,3.92,36939573,1449163,1176774,204.38834171256516,43199.5803532827,1.79608,379.62
1673.07,15.34,3.91,36939573,1449542,1173164,201.14174770454804,42513.37928355114,1.79608,379.62
1651.35,15.33,3.91,36944324,1449751,1173697,199.52219882239945,42171.07095283021,1.79608,379.62
1640.49,15.33,3.9,36939584,1449646,1173292,198.70893814748388,41999.17993605398,1.79608,379.62
1629.63,15.33,3.89,36936655,1449529,1173292,197.8956774725683,41827.28891927776,1.79608,379.62
1607.91,15.31,3.89,36939370,1449529,1173292,196.2827641901381,41486.38309087581,1.79608,379.62
1586.18,15.31,3.89,36949764,1450344,1172510,194.6553811568208,41142.41893164687,1.79608,379.62
1575.32,15.31,3.89,36951852,1450708,1172510,193.842064095531,40970.515997029914,1.79608,379.62
1564.46,15.31,3.88,36948739,1450513,1172664,193.0287470342413,40798.613062412966,1.79608,379.62
1553.6,15.3,3.87,36950543,1450543,1172269,192.22209370773996,40628.11857675173,1.79608,379.62
1553.6,15.3,3.87,36953611,1450703,1172956,192.22209370773996,40628.11857675173,1.79608,379.62
1542.74,15.3,3.86,36956370,1450715,1172956,191.4087484503309,40456.209682594665,1.79608,379.62
1531.88,15.3,3.87,36961648,1451108,1174468,190.59540319292188,40284.3007884376,1.79608,379.62
1515.59,15.3,3.86,36968945,1451374,1173476,189.3753853068083,40026.437447202006,1.79608,379.62
