mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
2004.34,16.15,9.43,37228360,1407471,1207432,2.2981,450.1
2004.34,16.15,9.41,37228360,1407404,1207719,2.2981,450.1
2004.34,16.15,9.43,37230454,1407299,1207437,2.2981,450.1
1998.91,16.16,9.43,37230127,1407265,1207437,2.2981,450.1
2004.34,16.16,9.43,37232252,1407450,1208600,2.2981,450.1
2004.34,16.18,9.44,37233402,1407422,1207805,2.2981,450.1
1998.91,16.18,9.44,37234680,1407332,1209063,2.2981,450.1
1998.91,16.18,9.44,37235276,1407341,1209215,2.2981,450.1
1998.91,16.19,9.44,37238140,1407341,1208417,2.2981,450.1
1998.91,16.2,9.44,37239326,1407370,1210373,2.2981,450.1
1998.91,16.2,9.44,37240587,1407341,1210373,2.2981,450.1
1998.91,16.21,9.45,37242501,1407444,1212282,2.2981,450.1
1998.91,16.21,9.45,37243840,1407529,1210159,2.2981,450.1
1998.91,16.22,9.45,37245288,1407393,1211662,2.2981,450.1
1998.91,16.23,9.45,37247031,1407423,1211505,2.2981,450.1
1998.91,16.23,9.45,37248923,1407593,1211930,2.2981,450.1
1993.48,16.24,9.45,37248923,1407554,1209022,2.2981,450.1
1998.91,16.25,9.45,37253321,1407542,1212063,2.2981,450.1
1998.91,16.25,9.46,37257423,1407584,1210646,2.2981,450.1
1998.91,16.26,9.46,37257423,1407721,1204187,2.2981,450.1
1998.91,16.28,9.46,37257423,1407794,1210810,2.2981,450.1
1993.48,16.29,9.46,37264815,1407828,1214351,2.2981,450.1
1993.48,16.3,9.46,37265351,1408011,1214351,2.2981,450.1
1998.91,16.31,9.46,37269834,1407962,1214686,2.2981,450.1
1993.48,16.32,9.46,37269834,1407816,1214644,2.2981,450.1
1998.91,16.32,9.48,37271424,1407906,1215683,2.2981,450.1
1998.91,16.33,9.48,37275107,1408163,1215885,2.2981,450.1
1993.48,16.34,9.48,37275107,1408074,1215885,2.2981,450.1
1993.48,16.35,9.48,37279076,1407996,1223361,2.2981,450.1
1993.48,16.35,9.46,37281721,1408051,1216545,2.2981,450.1
1998.91,16.35,9.48,37281198,1408161,1216537,2.2981,450.1
1998.91,16.36,9.48,37281198,1408288,1217420,2.2981,450.1
1993.48,16.36,9.48,37285126,1408364,1217678,2.2981,450.1
1993.48,16.37,9.48,37287264,1408410,1217428,2.2981,450.1
1993.48,16.37,9.48,37287264,1408373,1217560,2.2981,450.1
1993.48,16.38,9.48,37291006,1408519,1217892,2.2981,450.1
1993.48,16.38,9.48,37291000,1408433,1225531,2.2981,450.1
1993.48,16.38,9.48,37293058,1408472,1217695,2.2981,450.1
1993.48,16.39,9.48,37295807,1408462,1217977,2.2981,450.1
1993.48,16.4,9.48,37299070,1408462,1219439,2.2981,450.1
1993.48,16.41,9.48,37299981,1408445,1227778,2.2981,450.1
1998.91,16.41,9.47,37302328,1408445,1218941,2.2981,450.1
1998.91,16.43,9.47,37302328,1408710,1218941,2.2981,450.1
1998.91,16.44,9.47,37312658,1408975,1216162,2.2981,450.1
1998.91,16.45,9.47,37313229,1408951,1220512,2.2981,450.1
1998.91,16.46,9.47,37315189,1408892,1221183,2.2981,450.1
1998.91,16.47,9.46,37318430,1409202,1213546,2.2981,450.1
1998.91,16.47,9.45,37322287,1409253,1213546,2.2981,450.1
1998.91,16.48,9.45,37324139,1409185,1213546,2.2981,450.1
1998.91,16.49,9.43,37326826,1409291,1222479,2.2981,450.1
1998.91,16.5,9.43,37329273,1409464,1222510,2.2981,450.1
1998.91,16.5,9.43,37329366,1409384,1234638,2.2981,450.1
1998.91,16.51,9.43,37329366,1409475,1224340,2.2981,450.1
1998.91,16.52,9.43,37335236,1409573,1224340,2.2981,450.1
1998.91,16.53,9.42,37335236,1409573,1224835,2.2981,450.1
1998.91,16.54,9.42,37339038,1409801,1224835,2.2981,450.1
1998.91,16.55,9.41,37342515,1409915,1226337,2.2981,450.1
1998.91,16.56,9.41,37344019,1410013,1225993,2.2981,450.1
1998.91,16.57,9.41,37345896,1409972,1227005,2.2981,450.1
1998.91,16.57,9.41,37345896,1410159,1227277,2.2981,450.1
1998.91,16.58,9.41,37350261,1410085,1235348,2.2981,450.1
1993.48,16.59,9.41,37351153,1410329,1227009,2.2981,450.1
1998.91,16.6,9.41,37351903,1410219,1227242,2.2981,450.1
1998.91,16.61,9.4,37353626,1410179,1237337,2.2981,450.1
1998.91,16.61,9.4,37353626,1410179,1228277,2.2981,450.1
1993.48,16.62,9.4,37360649,1410626,1228003,2.2981,450.1
1998.91,16.63,9.4,37362034,1410647,1228003,2.2981,450.1
1998.91,16.64,9.39,37365680,1410843,1228921,2.2981,450.1
1993.48,16.65,9.39,37367184,1410785,1228921,2.2981,450.1
1993.48,16.66,9.38,37371440,1410785,1228921,2.2981,450.1
1993.48,16.66,9.38,37372113,1410941,1241230,2.2981,450.1
1993.48,16.68,9.38,37372113,1411073,1239957,2.2981,450.1
1993.48,16.7,9.37,37379598,1411294,1231301,2.2981,450.1
1998.91,16.71,9.37,37380781,1411132,1231301,2.2981,450.1
1993.48,16.72,9.37,37384822,1411594,1231301,2.2981,450.1
1993.48,16.73,9.36,37385043,1411637,1231301,2.2981,450.1
1993.48,16.73,9.36,37388302,1411812,1234026,2.2981,450.1
1993.48,16.74,9.35,37388302,1411767,1241381,2.2981,450.1
1993.48,16.74,9.34,37392369,1411767,1241381,2.2981,450.1
1993.48,16.76,9.35,37395310,1411978,1234243,2.2981,450.1
1993.48,16.77,9.34,37399092,1411978,1235315,2.2981,450.1
1993.48,16.79,9.33,37402483,1412494,1233517,2.2981,450.1
1993.48,16.8,9.33,37403330,1412464,1236322,2.2981,450.1
1993.48,16.8,9.32,37406199,1412479,1236385,2.2981,450.1
1993.48,16.8,9.32,37407668,1412847,1228819,2.2981,450.1
1993.48,16.81,9.3,37407792,1412714,1236935,2.2981,450.1
1993.48,16.82,9.3,37409008,1412675,1230865,2.2981,450.1
1993.48,16.83,9.3,37412398,1412798,1238794,2.2981,450.1
1993.48,16.84,9.29,37413825,1412864,1238106,2.2981,450.1
1993.48,16.84,9.29,37417156,1412864,1238106,2.2981,450.1
1993.48,16.85,9.29,37417621,1413215,1238197,2.2981,450.1
1993.48,16.87,9.28,37420678,1413394,1239097,2.2981,450.1
1993.48,16.88,9.28,37422509,1413464,1238919,2.2981,450.1
1993.48,16.88,9.28,37422509,1413977,1229107,2.2981,450.1
1993.48,16.9,9.28,37427940,1414001,1240595,2.2981,450.1
1993.48,16.9,9.28,37429994,1413820,1240595,2.2981,450.1
1993.48,16.92,9.27,37433261,1414114,1241078,2.2981,450.1
1993.48,16.93,9.27,37435520,1414227,1241432,2.2981,450.1
1993.48,16.94,9.27,37439297,1414309,1242576,2.2981,450.1
1993.48,16.94,9.26,37440777,1414417,1242576,2.2981,450.1
1993.48,16.96,9.26,37441855,1414634,1242962,2.2981,450.1
1993.48,16.96,9.26,37443177,1414779,1235849,2.2981,450.1
1993.48,16.98,9.26,37445430,1414808,1235849,2.2981,450.1
1988.05,16.99,9.26,37445430,1414950,1234145,2.2981,450.1
1988.05,17.0,9.25,37452323,1415006,1245140,2.2981,450.1
1988.05,17.02,9.25,37452323,1415261,1245089,2.2981,450.1
1993.48,17.03,9.24,37460405,1415310,1240645,2.2981,450.1
1988.05,17.04,9.23,37462972,1415310,1240645,2.2981,450.1
1988.05,17.06,9.22,37467008,1415380,1256583,2.2981,450.1
1988.05,17.08,9.22,37467008,1415552,1258926,2.2981,450.1
1988.05,17.09,9.22,37473971,1415552,1249217,2.2981,450.1
1988.05,17.1,9.21,37475465,1415732,1249217,2.2981,450.1
1988.05,17.11,9.21,37476107,1416075,1249401,2.2981,450.1
1988.05,17.12,9.21,37479905,1416096,1251447,2.2981,450.1
1988.05,17.13,9.21,37482547,1416265,1250648,2.2981,450.1
1988.05,17.14,9.21,37482890,1416343,1251177,2.2981,450.1
1988.05,17.15,9.18,37482890,1416558,1251516,2.2981,450.1
1988.05,17.17,9.18,37488530,1416452,1251332,2.2981,450.1
1988.05,17.17,9.18,37490718,1416548,1252669,2.2981,450.1
1988.05,17.18,9.16,37492155,1416780,1253077,2.2981,450.1
1988.05,17.19,9.15,37493971,1416806,1252981,2.2981,450.1
1988.05,17.19,9.15,37499751,1416818,1253937,2.2981,450.1
1988.05,17.2,9.15,37496990,1416938,1253970,2.2981,450.1
1988.05,17.21,9.14,37501709,1417069,1254735,2.2981,450.1
1988.05,17.22,9.13,37504173,1417188,1254430,2.2981,450.1
1988.05,17.23,9.13,37504173,1417200,1255522,2.2981,450.1
1988.05,17.25,9.13,37509566,1417422,1256338,2.2981,450.1
1988.05,17.26,9.13,37508927,1417743,1247450,2.2981,450.1
1988.05,17.27,9.1,37514636,1417526,1257014,2.2981,450.1
1988.05,17.28,9.09,37514636,1417754,1257731,2.2981,450.1
1982.62,17.3,9.09,37520941,1417853,1258451,2.2981,450.1
1988.05,17.31,9.08,37522676,1417868,1258626,2.2981,450.1
1988.05,17.32,9.07,37524458,1417892,1258741,2.2981,450.1
1988.05,17.33,9.07,37527767,1418098,1259654,2.2981,450.1
