mpx5500_pressure_hpa;rh_temp_c;humidity_pct;lpl_signal;mpl_signal;spl_signal;ch4_conc_mol_m3;co2_conc_mol_m3;ch4_ppm;co2_ppm
2004.34;15.68;8.77;37143542;1410893;1188567;288.76253944361946;56556.293896511525;2.2981;450.1
2004.34;15.68;8.79;37141917;1410893;1189800;288.76253944361946;56556.293896511525;2.2981;450.1
2004.34;15.7;8.82;37144430;1410682;1182722;288.7425454993963;56552.37793363138;2.2981;450.1
2004.34;15.71;8.83;37144054;1410674;1190297;288.7325495655356;56550.42015554048;2.2981;450.1
2004.34;15.71;8.83;37144426;1410674;1190037;288.7325495655356;56550.42015554048;2.2981;450.1
2004.34;15.72;8.84;37144218;1410465;1183580;288.7225543237463;56548.46251299692;2.2981;450.1
2004.34;15.72;8.84;37145573;1410404;1189452;288.7225543237463;56548.46251299692;2.2981;450.1
2004.34;15.72;8.85;37146364;1410378;1184148;288.7225543237463;56548.46251299692;2.2981;450.1
1998.91;15.72;8.86;37146979;1410013;1190669;288.2029696995482;56446.69799476379;2.2981;450.1
2004.34;15.73;8.89;37146979;1409902;1191419;288.7125597739566;56546.50500598663;2.2981;450.1
1998.91;15.75;8.91;37146979;1409893;1191419;288.17304208068015;56440.83644772384;2.2981;450.1
1998.91;15.76;8.94;37148009;1409770;1183381;288.1630675888979;56438.88286922369;2.2981;450.1
1998.91;15.76;8.95;37151001;1409624;1183381;288.1630675888979;56438.88286922369;2.2981;450.1
1998.91;15.77;8.95;37151001;1409374;1192374;288.1530937875831;56436.92942595673;2.2981;450.1
1998.91;15.77;8.95;37150840;1409299;1188507;288.1530937875831;56436.92942595673;2.2981;450.1
1998.91;15.77;9.01;37151729;1409121;1192620;288.1530937875831;56436.92942595673;2.2981;450.1
1998.91;15.79;9.03;37151189;1408978;1192739;288.1331482560687;56433.02294506616;2.2981;450.1
1998.91;15.79;9.05;37151535;1408903;1192313;288.1331482560687;56433.02294506616;2.2981;450.1
1993.48;15.79;9.06;37152377;1408903;1196117;287.61368950895127;56331.28308079674;2.2981;450.1
1998.91;15.8;9.06;37152377;1408687;1196117;288.12317652572585;56431.06990741448;2.2981;450.1
1993.48;15.8;9.08;37154169;1408664;1200956;287.6037357560698;56329.333564164765;2.2981;450.1
1993.48;15.81;9.09;37155658;1408650;1193110;287.5937826921248;56327.38418246612;2.2981;450.1
1993.48;15.81;9.1;37155658;1408416;1194740;287.5937826921248;56327.38418246612;2.2981;450.1
1993.48;15.82;9.11;37155216;1408258;1198721;287.5838303170446;56325.43493568678;2.2981;450.1
1993.48;15.83;9.12;37155697;1408217;1200079;287.5738786307578;56323.48582381275;2.2981;450.1
1993.48;15.83;9.14;37156278;1408304;1194018;287.5738786307578;56323.48582381275;2.2981;450.1
1993.48;15.83;9.14;37156278;1408129;1194018;287.5738786307578;56323.48582381275;2.2981;450.1
2004.34;15.83;9.15;37158105;1407969;1194018;288.61265232023186;56526.93738711822;2.2981;450.1
2026.07;15.84;9.15;37156635;1407911;1194850;290.68109734713266;56932.05775029129;2.2981;450.1
2015.21;15.85;9.15;37156534;1407181;1194995;289.63233737565264;56726.65029928257;2.2981;450.1
1993.48;15.86;9.19;37160207;1407429;1195213;287.5440277039424;56317.63929748248;2.2981;450.1
1982.62;15.86;9.19;37160207;1408687;1187804;286.50536184191606;56114.2088529857;2.2981;450.1
1982.62;15.86;9.18;37172417;1408539;1196729;286.50536184191606;56114.2088529857;2.2981;450.1
1982.62;15.86;9.18;37172417;1408255;1193535;286.50536184191606;56114.2088529857;2.2981;450.1
1977.19;15.87;9.17;37160928;1408023;1195388;285.9761338853368;56010.55561628742;2.2981;450.1
1977.19;15.87;9.18;37161602;1407906;1195388;285.9761338853368;56010.55561628742;2.2981;450.1
1977.19;15.87;9.18;37161910;1408039;1195665;285.9761338853368;56010.55561628742;2.2981;450.1
1982.62;15.87;9.18;37161910;1407849;1195665;286.49544884759587;56112.26731922149;2.2981;450.1
1977.19;15.88;9.21;37164704;1407492;1201387;285.96623954447654;56008.61773594226;2.2981;450.1
1977.19;15.89;9.22;37163784;1407719;1201387;285.95634588825095;56006.679989687895;2.2981;450.1
1977.19;15.89;9.22;37165519;1407662;1201387;285.95634588825095;56006.679989687895;2.2981;450.1
1977.19;15.9;9.24;37167041;1407785;1197255;285.946452916589;56004.74237751044;2.2981;450.1
